Mon 2024-01-15 10:51:20 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:51:30 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:51:38 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:51:40 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:57:17 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:57:27 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:57:30 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:57:37 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:57:39 Application status for Sky World Services Portal: Down, Response: connect timed out
Mon 2024-01-15 10:57:40 Application status for Sky World Services Portal: Down, Response: connect timed out
